package_id,courier,delivery_date,delivery_status,user_id
80c09506-8a61-454a-a226-22e639d8795b,DHL,09-12-2022,Delivered,1d10b266-b7b2-4258-88b3-3957de0461ea
2e321909-afe9-4ed2-9065-05425bce5394,ups,05/16/2021,In Transit,bf04c0b9-8a09-49e4-b4a5-0b2915bc5143
89b8b5d6-b90e-4a29-9d1e-a9a9db4d1e03,UPS,2022-08-30,Pending,616735b6-b8db-4517-bb3f-8171ec2a6166
f13aa104-f973-4a2e-bac0-6a04ac86b9ae,DHL,12/08/2021,In Transit,a6266c94-16ee-4914-a587-a3d43a81f913
51f15194-b5ad-4062-9bd2-16738f9667f0,UPS,2022.12.05,Lost,ccac9e39-e865-4a9f-acc3-1cf90c862ede
75bb8e99-ff6a-45b6-bcf5-120af842c8c2,FEDEX,26-11-2021,In Transit,d7be528d-0e2c-4410-ba87-306c4a04fcab
c19ca5d8-bb7d-4f0d-a0bf-9da6d5f0f9dd,ups,31-08-2021,Pending,43720d9b-c242-4c83-ae28-9004770a7044
4c010ef6-fd78-4813-8328-1afb057bf324,DHL   ,09-05-2022,Lost,aa7c68aa-2e5b-4255-98b8-2ee5048d40eb
d9eb0820-5822-4483-a99e-44bdf75c8ac9,UPS,2022-09-09,Lost,95af9858-5249-4e5f-b409-1fd058f6042f
2e636598-a94b-47cd-a1d2-1a7f1de8d3d1,DHL,2022-11-23,Pending,19a5870d-e88b-4825-a322-7c991ee1ffe5
46b735b0-2072-49f5-bab9-465a8040cbf0,DHL,2023.01.02,In Transit,a080556c-bdff-4348-b1a3-23c04474ea48
cd5395b6-0ea0-4bf0-933a-d7e3b92b729d,DHL,2022.11.30,In Transit,af4a4221-b5cc-4fdb-942d-7ae5bb070e8b
dfb16507-ec16-4562-b573-b57bbd4bf2f5,DHL   ,29-10-2021,In Transit,e554e9cf-d413-4fe2-9700-708f083554a8
e8de3924-9119-41f3-8524-94e0c9a6cae9,DHL   ,11-04-2024,In Transit,14912fde-c8ed-4182-8043-2fe46903c9b5
df1d8a9e-7758-4ea9-ab6b-94e10c36f76d,DHL,2023-09-19,Lost,54d72bf0-c461-46ff-b7c1-d371413796a3
ba3fc205-40b2-4796-a230-7bfe84c9307d,DHL   ,2024-03-15,Lost,790cbc7f-ccc7-4265-a4f7-cd06be1d66b9
c6558740-96d4-4702-92f5-1e6c6cb89b6d,ups,01/11/2022,Lost,f95929de-8ca1-4f99-8680-c06287e20eee
c0252897-1f51-48ea-9f19-e0c48db6e778,DHL,02/26/2023,Delivered,d65782b5-61f1-43a2-a53a-253990c1652a
37f9c6ee-d8ed-4cde-a354-91c1da09ec6d,ups,2021-06-16,Lost,8af36546-8f27-4d5c-a1d3-0672e6f8de3f
1c9c90bf-89ae-4e1b-ae00-a5c5819f5aff,ups,2021.12.08,Lost,ad7c741e-b0d7-4d03-98c7-2b6bb68d5b6e
c2abcdd0-977c-45a1-b5ad-1898aa939fd1,DHL,04/06/2022,Lost,c6324f78-6cdc-42a6-b41e-7bb0ce9f1c89
43d119f9-e74e-48b2-a65b-f964cee36ec7,FEDEX,2023-01-10,In Transit,f88cb780-8c0d-4c92-93e1-b767e1c43aec
167ffb85-272b-4b54-aa71-0b9d1ab5ad9e,DHL,12/13/2022,Pending,0015cf11-5342-479c-b54b-a10ec660ad83
14d8b8fb-c4b2-4778-843b-860be32fdc58,UPS,2023.10.26,Pending,901b7f88-b4bd-4d40-b7a5-652472027531
1253db70-4a5b-4c75-bf68-65964a3e8cd6,ups,10/16/2022,In Transit,9c530179-a4be-4699-accf-720d6fc0f181
71772788-b2b1-4d59-af09-9ef3c2d50a8c,DHL   ,2023.05.28,Delivered,d804e28d-8096-4fdf-bf61-51916815397c
3e01e2d9-6449-4f62-bd5f-a10ad1152efb,FEDEX,07/13/2021,Delivered,5b794a3a-a201-4fe7-9d5b-80663a843755
1bb04b22-bbc0-424b-954a-68c844998298,ups,2023-05-07,Delivered,2440cdba-d6e5-43ee-9dc6-cabb879a3bd6
